# List generated with
# for i in `seq 50000 100000`; do listURL="https://www.netflix.com/browse/genre/$i"; genre=$(wget --no-check-certificate -q -O - "$listURL" |head | tr '{' '\n'| grep '"@type":"ItemList","name":' | tr ':' '\n'  | tr ',' '\n' | awk '/name/{getline; print}'); if [ "$genre" != "" ]; then  echo $i $listURL $genre; fi; done  >> codes_one_by_one.txt &
9833 https://www.netflix.com/browse/genre/9833 "Reality TV Shows"
9875 https://www.netflix.com/browse/genre/9875 "Crime Documentaries"
9889 https://www.netflix.com/browse/genre/9889 "Movies Based on Books"
10105 https://www.netflix.com/browse/genre/10105 "Documentary Series"
10118 https://www.netflix.com/browse/genre/10118 "Superhero Movies"
9994 https://www.netflix.com/browse/genre/9994 "Mysteries"
10375 https://www.netflix.com/browse/genre/10375 "Best TV Comedy Shows"
10579 https://www.netflix.com/browse/genre/10579 "Feel-good Movies"
10619 https://www.netflix.com/browse/genre/10619 "Inspiring Movies"
10659 https://www.netflix.com/browse/genre/10659 "Education for Kids"
10673 https://www.netflix.com/browse/genre/10673 "Best Action & Adventure Shows"
10695 https://www.netflix.com/browse/genre/10695 "Horror Anime"
10702 https://www.netflix.com/browse/genre/10702 "Spy Action & Adventure Movies"
10714 https://www.netflix.com/browse/genre/10714 "Courtroom Movies"
10944 https://www.netflix.com/browse/genre/10944 "Watch Cult Horror Movies"
11146 https://www.netflix.com/browse/genre/11146 "Fantasy Anime"
11177 https://www.netflix.com/browse/genre/11177 "TV Cartoons"
11559 https://www.netflix.com/browse/genre/11559 "Stand-Up Comedy"
11565 https://www.netflix.com/browse/genre/11565 "Movies starring Jackie Chan"
11714 https://www.netflix.com/browse/genre/11714 "TV Drama Series"
11781 https://www.netflix.com/browse/genre/11781 "Steamy Movies"
11881 https://www.netflix.com/browse/genre/11881 "Adult Animated Movies & Shows"
12123 https://www.netflix.com/browse/genre/12123 "Period Dramas"
12739 https://www.netflix.com/browse/genre/12739 "20th-Century Period Piece Movies"
16705 https://www.netflix.com/browse/genre/16705 "Suspenseful TV Shows"
20541 https://www.netflix.com/browse/genre/20541 "Hijacking Movies"
21448 https://www.netflix.com/browse/genre/21448 "Movies starring Jason Statham"
21747 https://www.netflix.com/browse/genre/21747 "Movies starring Ryan Reynolds"
25508 https://www.netflix.com/browse/genre/25508 "Movies directed by Tyler Perry"
25801 https://www.netflix.com/browse/genre/25801 "Courtroom TV Shows"
25807 https://www.netflix.com/browse/genre/25807 "Political TV Shows"
25942 https://www.netflix.com/browse/genre/25942 "Spy TV Shows"
26009 https://www.netflix.com/browse/genre/26009 "TV Crime Dramas"
26049 https://www.netflix.com/browse/genre/26049 "Romantic TV Comedies"
26056 https://www.netflix.com/browse/genre/26056 "Romantic TV Dramas"
26146 https://www.netflix.com/browse/genre/26146 "Watch Crime TV Shows"
26156 https://www.netflix.com/browse/genre/26156 "Watch Romantic TV Shows"
26835 https://www.netflix.com/browse/genre/26835 "Spiritual Movies"
27346 https://www.netflix.com/browse/genre/27346 "Kids TV Shows"
27652 https://www.netflix.com/browse/genre/27652 "Heartfelt Underdog Movies"
29764 https://www.netflix.com/browse/genre/29764 "Arthouse Films"
31273 https://www.netflix.com/browse/genre/31273 "Watch Classic Romantic Movies"
31574 https://www.netflix.com/browse/genre/31574 "Classic Movies"
31694 https://www.netflix.com/browse/genre/31694 "Classic Comedy Films"
31851 https://www.netflix.com/browse/genre/31851 "Gangster Movies"
31901 https://www.netflix.com/browse/genre/31901 "Family Drama Movies"
34399 https://www.netflix.com/browse/genre/34399 "Movies"
35800 https://www.netflix.com/browse/genre/35800 "Steamy Romantic Movies"
39135 https://www.netflix.com/browse/genre/39135 "Food Shows"
42025 https://www.netflix.com/browse/genre/42025 "Supernatural Movies"
42788 https://www.netflix.com/browse/genre/42788 "Supernatural TV Shows"
43040 https://www.netflix.com/browse/genre/43040 "Action Comedy Movies"
43048 https://www.netflix.com/browse/genre/43048 "Action-Thrillers"
